2026-03-19 01:18:45 | INFO     | build_dataset_satellite | 日志文件：/home6/zht/-Yolo-/logs/build_dataset_satellite_20260319_011845.log
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | ============================================================
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | YOLO 数据集构建开始：satellite
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | 卫星图像总数：34
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | 划分结果：train=23, val=5, test=6
2026-03-19 01:18:45 | INFO     | build_dataset_satellite |   train: 23 张图像，28 个框
2026-03-19 01:18:45 | INFO     | build_dataset_satellite |   val: 5 张图像，5 个框
2026-03-19 01:18:45 | INFO     | build_dataset_satellite |   test: 6 张图像，9 个框
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | dataset.yaml 已生成：data/yolo_dataset_satellite/dataset.yaml
2026-03-19 01:18:45 | INFO     | build_dataset_satellite | 划分摘要已保存：data/yolo_dataset_satellite/split_summary.txt
2026-03-19 01:19:07 | INFO     | build_dataset_satellite | 划分统计图已保存：data/yolo_dataset_satellite/split_statistics.png
2026-03-19 01:19:07 | INFO     | build_dataset_satellite | ============================================================
2026-03-19 01:19:07 | INFO     | build_dataset_satellite | 数据集构建完成！
2026-03-19 01:19:07 | INFO     | build_dataset_satellite | 数据集路径：/home6/zht/-Yolo-/data/yolo_dataset_satellite
2026-03-19 01:19:07 | INFO     | build_dataset_satellite | dataset.yaml：/home6/zht/-Yolo-/data/yolo_dataset_satellite/dataset.yaml
