x1,y1,x2,y2,score
37782.6,35075.1,37840.0,35113.4,0.9336
16877.1,13968.0,16907.7,14004.0,0.9195
35204.9,3356.3,35257.2,3387.5,0.9184
34827.3,19035.3,34879.6,19077.3,0.9140
2211.4,17225.9,2256.0,17273.7,0.9134
36641.6,15954.5,36695.9,15995.5,0.9114
36590.5,25217.9,36621.4,25246.2,0.9112
20291.0,22483.3,20320.0,22515.0,0.8996
20465.1,1182.4,20514.2,1219.4,0.8967
21003.7,20506.1,21040.7,20542.8,0.8962
958.0,26125.8,979.5,26150.0,0.8952
2088.4,23150.6,2152.8,23211.8,0.8951
18570.1,9727.8,18662.3,9802.1,0.8933
33338.0,21475.9,33372.9,21531.0,0.8928
37891.7,4651.5,37933.7,4708.8,0.8916
7014.6,19785.8,7039.0,19818.9,0.8914
800.5,24640.1,891.5,24692.3,0.8913
21141.8,24384.8,21168.9,24417.4,0.8890
30493.4,3963.2,30544.7,3987.9,0.8888
27315.0,32330.6,27411.4,32401.9,0.8885
9200.5,9916.0,9235.0,9950.6,0.8875
24721.4,8731.7,24762.6,8784.2,0.8873
36501.4,24901.9,36526.7,24927.8,0.8872
27240.3,26289.8,27317.7,26359.5,0.8862
13175.3,5835.4,13254.3,5905.3,0.8818
4760.3,19846.0,4870.9,19954.5,0.8797
38398.2,34026.7,38429.6,34063.9,0.8790
5097.3,20412.7,5211.4,20517.6,0.8774
33220.0,28864.8,33268.7,28900.5,0.8747
38014.3,19091.6,38033.6,19126.5,0.8734
36870.6,35702.9,36900.4,35732.3,0.8733
9152.4,9713.6,9178.5,9740.2,0.8696
14852.1,25331.2,14886.1,25369.9,0.8686
37410.1,36115.6,37439.3,36149.4,0.8677
23448.0,2873.1,23502.8,2901.7,0.8655
22975.6,3520.0,23038.9,3576.0,0.8652
10213.1,26375.9,10318.3,26481.0,0.8646
356.8,3430.0,396.6,3465.8,0.8636
809.8,23851.3,879.3,23958.0,0.8631
38126.6,5928.6,38165.6,5956.3,0.8606
23527.0,19140.1,23562.9,19168.7,0.8599
28057.4,5556.9,28098.7,5591.4,0.8583
33403.5,3689.4,33463.0,3721.3,0.8581
37327.0,17246.3,37364.9,17312.8,0.8564
6486.3,21400.6,6562.6,21475.0,0.8562
37826.7,14208.1,37856.0,14251.4,0.8490
12937.1,11745.8,12958.4,11771.3,0.8489
4912.4,29015.4,4928.3,29035.6,0.8487
20568.0,32424.8,20644.7,32504.6,0.8483
613.5,12622.4,657.3,12671.1,0.8479
38286.8,34205.8,38311.5,34228.2,0.8466
21076.0,1652.9,21119.0,1679.2,0.8453
33761.6,21627.6,33784.7,21657.4,0.8447
38446.0,34294.9,38465.8,34320.4,0.8419
11152.3,10972.0,11187.2,11006.4,0.8417
35682.8,15300.5,35733.3,15349.0,0.8413
26032.3,32954.8,26135.8,33068.7,0.8404
32395.2,4967.4,32448.2,5035.8,0.8394
37748.0,10034.7,37776.3,10075.7,0.8390
22816.9,3517.3,22883.4,3581.8,0.8387
32887.0,20073.1,32953.3,20110.5,0.8377
35706.6,19250.0,35755.1,19295.2,0.8362
36369.6,16470.7,36400.6,16507.7,0.8356
1217.3,7521.1,1276.4,7555.1,0.8355
35539.5,5738.4,35588.5,5777.2,0.8352
31334.5,12902.9,31388.8,12950.4,0.8351
20086.7,9911.0,20151.9,9976.9,0.8331
37427.9,10549.7,37459.7,10593.0,0.8323
19121.8,14873.5,19154.8,14902.2,0.8321
36219.8,19997.4,36242.3,20026.0,0.8316
34911.4,12800.0,34956.6,12842.6,0.8314
36763.5,36091.8,36792.7,36119.8,0.8302
35492.3,16110.7,35547.7,16150.2,0.8298
1310.9,7346.3,1369.7,7360.0,0.8297
7394.4,3802.6,7442.5,3831.8,0.8272
32631.6,3611.4,32669.1,3637.8,0.8271
24070.5,29588.4,24132.5,29652.1,0.8270
2911.3,23360.0,2983.3,23419.5,0.8267
33970.7,28480.0,34078.2,28555.2,0.8266
38418.4,33865.4,38442.1,33891.8,0.8264
6850.7,34578.3,6873.6,34613.8,0.8261
32717.0,5295.5,32748.7,5324.7,0.8246
22090.5,2535.4,22131.7,2556.6,0.8246
37778.6,11377.0,37821.4,11407.9,0.8245
2827.3,21451.3,2879.0,21518.2,0.8244
3608.6,27611.6,3623.5,27627.3,0.8235
32561.2,532.2,32624.7,587.9,0.8233
2800.7,20917.2,2917.8,21007.4,0.8228
35011.6,3368.5,35052.8,3395.5,0.8224
35172.4,6202.3,35199.5,6234.4,0.8218
33453.0,22619.8,33483.1,22658.9,0.8212
10491.3,26336.8,10602.6,26435.5,0.8195
36153.6,3335.5,36195.5,3358.3,0.8188
35628.2,6041.0,35669.1,6066.2,0.8180
4276.2,31955.9,4301.1,31969.0,0.8179
31996.6,11376.9,32070.5,11438.5,0.8171
767.3,19819.2,783.2,19837.8,0.8166
38569.9,34122.2,38593.1,34146.9,0.8155
6819.2,25559.6,6828.7,25575.4,0.8150
34981.8,21460.6,35004.8,21486.3,0.8148
31573.9,12399.2,31605.8,12422.4,0.8143
34682.9,3582.9,34724.9,3606.7,0.8141
36171.6,25299.3,36197.7,25327.1,0.8140
3087.3,19506.8,3206.9,19614.2,0.8139
15062.5,13092.6,15093.5,13123.4,0.8136
34848.5,25511.9,34874.8,25535.9,0.8128
14452.8,2343.5,14500.4,2405.1,0.8122
22603.1,2435.4,22645.6,2459.7,0.8118
35987.4,14539.7,36015.8,14567.9,0.8113
25396.1,7415.9,25424.9,7445.8,0.8110
23606.7,4027.1,23642.7,4069.6,0.8102
38537.6,14498.0,38585.9,14530.9,0.8096
33691.2,5525.9,33740.2,5576.1,0.8092
36543.6,960.3,36593.5,997.2,0.8088
14293.5,1259.6,14336.7,1284.7,0.8087
23450.8,19344.5,23489.9,19372.3,0.8086
22700.0,19819.3,22757.3,19875.1,0.8079
26179.8,33097.0,26287.9,33207.1,0.8066
37027.0,10960.7,37056.2,11003.8,0.8064
37582.3,3129.4,37620.2,3156.5,0.8057
12722.2,33071.3,12786.7,33082.1,0.8049
3864.1,21656.7,3977.5,21749.5,0.8046
29515.2,3938.0,29563.6,3969.6,0.8038
36762.1,17203.6,36783.8,17235.9,0.8038
11370.5,4282.9,11427.7,4318.5,0.8034
2641.0,22443.0,2710.5,22551.7,0.8030
37259.8,14174.9,37291.9,14208.3,0.8028
6865.1,19093.5,6881.3,19106.1,0.8018
33820.1,28480.0,33920.0,28552.2,0.8013
24891.0,8504.5,24924.5,8532.9,0.8012
827.3,26371.9,842.1,26384.2,0.8009
37385.4,10630.0,37415.6,10668.4,0.8004
31146.0,17069.9,31160.6,17099.9,0.7994
37012.2,6973.9,37058.0,7024.1,0.7994
2342.8,22537.1,2422.7,22621.6,0.7992
7737.8,28683.9,7750.9,28697.8,0.7989
23651.3,2421.9,23692.9,2444.4,0.7988
32569.4,472.8,32639.4,524.2,0.7987
20202.4,21062.5,20236.0,21087.8,0.7985
36891.8,35799.2,36915.9,35829.2,0.7984
1108.3,13699.4,1144.3,13716.1,0.7971
1495.8,19775.6,1585.2,19840.0,0.7967
2498.5,31228.3,2529.0,31247.8,0.7957
28905.5,4207.8,28948.6,4251.5,0.7953
23648.0,844.7,23664.1,863.8,0.7947
35729.0,9655.6,35772.5,9688.2,0.7939
21305.6,11380.3,21341.3,11421.4,0.7934
2401.1,28536.9,2415.5,28556.8,0.7933
6950.5,25600.5,7040.0,25676.3,0.7931
14238.1,14547.0,14253.9,14572.6,0.7928
33338.0,9182.8,33381.7,9226.4,0.7927
4722.3,26153.7,4798.3,26230.8,0.7919
33773.1,28600.0,33845.5,28667.9,0.7914
35587.0,25393.6,35611.4,25420.3,0.7911
17663.0,1814.0,17678.5,1834.0,0.7911
37241.9,3952.1,37301.0,4011.3,0.7909
34682.9,3682.6,34723.8,3706.6,0.7899
38164.3,15015.4,38196.3,15047.5,0.7897
320.0,137.2,391.8,212.0,0.7894
36987.5,18963.2,37028.0,18987.2,0.7890
22827.8,3349.6,22884.5,3405.0,0.7882
36764.1,8354.8,36810.2,8380.2,0.7882
22079.7,19378.1,22112.7,19413.3,0.7878
19469.1,2755.4,19508.6,2780.2,0.7874
21738.3,2381.7,21779.5,2405.1,0.7873
25154.3,8563.2,25197.2,8594.5,0.7855
23563.1,859.2,23581.4,874.8,0.7854
29218.1,22218.5,29231.2,22246.2,0.7851
2207.2,16132.4,2224.1,16145.7,0.7844
4506.2,23940.0,4627.9,24043.3,0.7836
35012.4,4963.1,35043.9,4997.8,0.7834
18523.3,3107.0,18577.1,3145.1,0.7828
9173.0,30740.3,9187.7,30757.2,0.7825
16247.7,3596.7,16286.0,3618.8,0.7825
35940.6,4465.5,35980.1,4520.5,0.7813
10198.2,23114.1,10224.2,23147.2,0.7811
4080.7,4634.9,4128.6,4675.1,0.7810
35764.2,25047.4,35790.4,25069.7,0.7802
36780.9,35618.8,36799.2,35640.6,0.7797
38066.9,34430.8,38089.4,34455.6,0.7795
469.5,33825.0,481.9,33838.8,0.7794
40.2,11951.4,66.7,11981.9,0.7791
38570.3,3556.2,38619.9,3592.3,0.7791
3716.4,18382.0,3732.4,18402.3,0.7787
36813.3,1154.9,36861.6,1204.4,0.7782
37904.9,9776.5,37953.7,9816.5,0.7782
35521.2,8699.0,35551.4,8750.2,0.7778
34592.3,25655.8,34613.2,25679.6,0.7759
11181.8,26601.5,11269.6,26711.2,0.7757
9124.2,3882.3,9171.9,3908.2,0.7756
7304.8,8887.0,7341.8,8918.3,0.7756
1102.3,27415.7,1114.1,27430.8,0.7755
30889.9,21537.9,30945.2,21588.9,0.7741
37413.3,14254.4,37440.0,14290.6,0.7736
32197.5,12456.1,32230.3,12505.6,0.7734
35492.1,16110.1,35518.4,16144.7,0.7732
4282.5,19500.6,4343.4,19520.0,0.7726
30299.6,3798.8,30355.5,3833.1,0.7721
35133.2,25237.5,35155.7,25263.3,0.7715
37853.9,9930.1,37888.9,9971.6,0.7706
21149.8,15689.0,21186.1,15720.0,0.7704
24668.9,35722.0,24743.4,35802.9,0.7689
17491.5,2350.9,17521.3,2395.2,0.7683
18091.0,14762.5,18120.6,14775.9,0.7682
37712.6,6555.5,37748.7,6583.0,0.7678
22070.2,19665.6,22087.2,19686.7,0.7672
35627.8,9589.0,35669.2,9620.7,0.7669
4239.5,27841.6,4258.1,27864.6,0.7662
35448.0,25393.1,35471.0,25416.5,0.7658
907.1,24476.5,1031.6,24578.0,0.7656
93.3,32723.7,120.8,32735.5,0.7655
36363.5,1199.5,36403.5,1227.9,0.7651
1813.1,16913.8,1860.8,16926.5,0.7650
755.8,6666.5,793.0,6694.9,0.7643
36941.6,13665.8,36963.4,13691.2,0.7626
37452.0,3363.4,37491.5,3385.9,0.7622
33800.7,28710.3,33869.1,28777.4,0.7621
22277.3,20253.2,22353.5,20321.6,0.7617
38181.3,15231.7,38215.7,15265.0,0.7614
4937.6,20537.0,5057.8,20641.1,0.7614
33818.9,3674.4,33860.2,3699.8,0.7607
36756.2,3250.8,36798.2,3278.8,0.7606
