dataset,scale,map50,precision,recall,f1
satellite,100,0.6668,1.0000,0.4343,0.6056
satellite,50,0.5837,0.9629,0.3333,0.4952
satellite,25,0.6667,1.0000,0.3333,0.5000
satellite,12.5,0.0000,0.0000,0.0000,0.0000
satellite,6.25,0.6111,1.0000,0.2222,0.3636
satellite,3.125,0.0000,0.0000,0.0000,0.0000
uav,100,0.9795,0.9807,0.9250,0.9520
uav,50,0.9890,0.9482,1.0000,0.9734
uav,25,0.9812,0.9718,0.9750,0.9734
uav,12.5,0.9855,0.9750,0.9750,0.9750
uav,6.25,0.9344,0.9017,0.9178,0.9097
uav,3.125,0.9160,0.9703,0.8182,0.8878
