                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3887,                 4.7284,                 1.6399,                0.00267,                    0.8,                0.00335,                 0.0016,                 1.6808,                 4.5713,                 1.1857,                 0.0892,                 0.0012,                 0.0012
                      2,                 1.9796,                 3.9386,                 1.3847,                0.00333,                      1,                0.00653,                0.00261,                 1.3011,                 4.1913,                 1.0996,               0.077484,              0.0024835,              0.0024835
                      3,                 1.6919,                 2.6132,                 1.2468,                0.00333,                      1,                0.00633,                0.00284,                 1.5966,                 3.2986,                 1.1374,                0.06575,              0.0037498,              0.0037498
                      4,                 1.5828,                 1.9244,                 1.1495,                0.00333,                      1,                0.59718,                0.39781,                 1.3712,                 2.9744,                 1.0174,               0.053999,               0.004999,               0.004999
                      5,                  1.418,                 1.5849,                 1.0685,                0.00333,                      1,                  0.549,                0.29386,                 1.6664,                 2.8559,                 1.1831,               0.042231,               0.006231,               0.006231
                      6,                  1.387,                 1.4005,                 1.0272,                0.00333,                      1,                0.80019,                 0.4787,                 1.5867,                 2.6041,                 1.0611,               0.030446,              0.0074459,              0.0074459
                      7,                 1.3244,                  1.231,                  1.008,                0.62473,                    0.2,                0.59595,                0.28978,                 1.9983,                 2.4443,                 1.3266,               0.018644,              0.0086436,              0.0086436
                      8,                 1.2485,                 1.2279,                0.99093,                      1,                0.34533,                0.64629,                0.37721,                 1.8364,                 2.6366,                 1.3182,               0.009538,               0.009538,               0.009538
                      9,                 1.2597,                  1.157,                0.98083,                0.93736,                    0.4,                0.64262,                 0.1937,                  2.136,                 1.9827,                 1.4562,               0.009472,               0.009472,               0.009472
                     10,                 1.1726,                 1.0813,                 0.9479,                0.74549,                0.58919,                0.63439,                0.40052,                 1.3299,                 1.9033,                 1.0783,               0.009406,               0.009406,               0.009406
                     11,                 1.0639,                 0.9791,                 0.9148,                0.93788,                    0.2,                0.47071,                0.25128,                 1.9546,                 2.4164,                 1.5191,                0.00934,                0.00934,                0.00934
                     12,                0.99382,                0.94718,                0.90058,                      1,                0.38758,                  0.545,                0.25986,                 2.0093,                 2.3026,                 1.3743,               0.009274,               0.009274,               0.009274
                     13,                0.97654,                0.85253,                0.89132,                0.94398,                    0.6,                   0.72,                0.39769,                 1.6462,                 1.6174,                 1.2072,               0.009208,               0.009208,               0.009208
                     14,                0.90618,                0.81075,                0.87578,                0.75472,                    0.8,                0.81382,                0.46356,                 1.5172,                  1.376,                 1.2044,               0.009142,               0.009142,               0.009142
                     15,                0.83678,                0.79598,                0.86317,                 0.9152,                    0.6,                0.78716,                0.50075,                 1.6389,                 1.5532,                 1.2659,               0.009076,               0.009076,               0.009076
                     16,                 0.7926,                0.78348,                0.85051,                 0.9306,                    0.8,                  0.895,                0.44519,                  1.547,                 1.3582,                  1.213,                0.00901,                0.00901,                0.00901
                     17,                  0.759,                0.69976,                0.83986,                0.96938,                    0.4,                0.68167,                0.46917,                 1.5066,                 1.5403,                 1.1013,               0.008944,               0.008944,               0.008944
                     18,                0.79206,                0.69028,                0.85013,                      1,                0.39058,                0.65944,                0.44416,                  1.431,                 1.7998,                 1.1294,               0.008878,               0.008878,               0.008878
                     19,                0.78839,                0.66009,                 0.8435,                0.56188,                0.77326,                0.56643,                0.30374,                 1.6515,                 1.5348,                 1.1457,               0.008812,               0.008812,               0.008812
                     20,                0.73944,                 0.6365,                0.83665,                0.95638,                    0.4,                0.67192,                0.39581,                  1.569,                 1.5136,                 1.2162,               0.008746,               0.008746,               0.008746
                     21,                0.68697,                0.61872,                0.82751,                0.63662,                    0.8,                0.71722,                0.46302,                 1.5038,                 1.2786,                 1.2075,                0.00868,                0.00868,                0.00868
                     22,                0.64904,                0.61705,                0.82066,                0.60672,                    0.6,                0.65773,                 0.3758,                  1.534,                 1.7007,                 1.1791,               0.008614,               0.008614,               0.008614
                     23,                0.64858,                 0.5717,                0.82278,                0.95724,                    0.6,                0.78716,                0.53697,                 1.4414,                 1.1439,                  1.132,               0.008548,               0.008548,               0.008548
                     24,                0.63934,                0.55263,                0.82119,                      1,                0.77977,                0.87192,                0.54384,                 1.3622,                 1.1264,                 1.1344,               0.008482,               0.008482,               0.008482
                     25,                0.63481,                0.52186,                 0.8164,                0.78978,                 0.7591,                0.86611,                0.47501,                 1.5124,                 1.1892,                 1.2552,               0.008416,               0.008416,               0.008416
                     26,                0.60799,                0.51862,                0.81123,                0.88311,                    0.6,                 0.8204,                0.52892,                 1.4537,                 1.0612,                 1.1446,                0.00835,                0.00835,                0.00835
                     27,                0.58443,                0.52748,                0.80951,                0.64102,                    0.8,                0.75526,                0.51922,                 1.4045,                 1.2268,                 1.0838,               0.008284,               0.008284,               0.008284
                     28,                0.57204,                0.49772,                0.80757,                0.79274,                0.77094,                0.84591,                0.56444,                 1.4652,                 1.1521,                 1.1522,               0.008218,               0.008218,               0.008218
                     29,                 0.5603,                0.47983,                0.80701,                0.75328,                    0.8,                0.84591,                0.50624,                 1.4517,                 1.0255,                 1.1235,               0.008152,               0.008152,               0.008152
                     30,                0.53888,                0.47164,                 0.8099,                      1,                0.77334,                   0.92,                0.53513,                 1.6678,                 1.1018,                 1.2274,               0.008086,               0.008086,               0.008086
                     31,                0.52746,                0.46181,                0.80443,                0.78706,                0.74822,                0.79833,                0.47825,                 1.5858,                  1.244,                 1.2213,                0.00802,                0.00802,                0.00802
                     32,                0.52405,                0.44771,                0.80494,                0.64139,                    0.8,                   0.84,                0.45671,                 1.5106,                 1.1358,                 1.1876,               0.007954,               0.007954,               0.007954
                     33,                 0.5159,                0.43036,                0.80004,                0.58667,                      1,                0.78667,                0.56042,                 1.4985,                 1.2611,                 1.1926,               0.007888,               0.007888,               0.007888
                     34,                 0.4987,                 0.4265,                0.80043,                0.69546,                0.46911,                0.65106,                 0.3811,                 1.5691,                 1.6929,                 1.2718,               0.007822,               0.007822,               0.007822
                     35,                0.46907,                0.42264,                0.79725,                      1,                0.74989,                0.93786,                0.49462,                 1.7601,                 1.1066,                 1.3625,               0.007756,               0.007756,               0.007756
                     36,                0.48477,                0.41715,                0.80164,                0.79424,                    0.6,                0.86611,                0.48271,                 1.6386,                 1.2846,                 1.2958,                0.00769,                0.00769,                0.00769
                     37,                0.47831,                0.40311,                0.79663,                0.68469,                0.87571,                0.85786,                0.47856,                 1.5743,                 1.0693,                 1.2622,               0.007624,               0.007624,               0.007624
                     38,                0.46273,                0.40534,                0.79635,                0.61104,                    0.6,                0.75929,                0.41947,                 1.6061,                  1.298,                 1.2492,               0.007558,               0.007558,               0.007558
                     39,                0.46729,                0.38619,                0.79853,                0.96694,                      1,                  0.995,                0.54718,                  1.694,                 1.0338,                 1.2981,               0.007492,               0.007492,               0.007492
                     40,                0.46669,                0.37611,                0.79246,                 0.8323,                0.99379,                0.92833,                0.51308,                 1.8039,                 1.1275,                 1.3244,               0.007426,               0.007426,               0.007426
                     41,                0.45978,                0.36616,                0.78783,                0.67076,                 0.8172,                0.85786,                0.47113,                 1.7021,                 1.2114,                  1.211,                0.00736,                0.00736,                0.00736
                     42,                0.44299,                0.36922,                0.78922,                0.61652,                    0.8,                0.77278,                0.39044,                 1.9196,                 1.2531,                 1.4783,               0.007294,               0.007294,               0.007294
                     43,                0.42674,                0.36716,                0.78738,                      1,                0.75078,                0.90611,                0.49975,                 1.7387,                 1.1242,                  1.236,               0.007228,               0.007228,               0.007228
                     44,                0.42372,                0.36769,                0.78907,                 0.8013,                0.80779,                0.96167,                0.54391,                 1.6907,                  1.117,                 1.2595,               0.007162,               0.007162,               0.007162
                     45,                0.41991,                0.36345,                0.78821,                      1,                 0.7853,                  0.995,                0.48459,                 1.7609,                 1.1259,                  1.294,               0.007096,               0.007096,               0.007096
                     46,                0.40447,                0.34321,                0.78937,                      1,                0.58578,                0.78621,                0.51699,                 1.6357,                 1.1257,                 1.2338,                0.00703,                0.00703,                0.00703
                     47,                 0.4069,                0.35117,                 0.7888,                      1,                0.59708,                0.88071,                0.46353,                 1.8351,                  1.075,                 1.2951,               0.006964,               0.006964,               0.006964
                     48,                0.40465,                0.34757,                 0.7904,                      1,                 0.5846,                0.77833,                0.40217,                 1.7466,                 1.1441,                 1.3141,               0.006898,               0.006898,               0.006898
                     49,                0.39162,                0.32884,                0.78655,                      1,                0.58624,                0.83944,                0.45988,                 1.7893,                 1.0521,                 1.3044,               0.006832,               0.006832,               0.006832
                     50,                0.39403,                0.33518,                0.78703,                      1,                 0.7907,                   0.92,                0.49488,                 1.7052,                0.97434,                 1.2511,               0.006766,               0.006766,               0.006766
                     51,                0.38318,                0.32934,                0.78678,                0.96862,                    0.8,                   0.92,                 0.4426,                 1.9544,                0.97261,                 1.3702,                 0.0067,                 0.0067,                 0.0067
                     52,                 0.3576,                0.32128,                0.78758,                0.96873,                    0.6,                0.74885,                0.44042,                 1.9495,                 1.0729,                 1.3317,               0.006634,               0.006634,               0.006634
                     53,                0.36837,                0.31231,                 0.7849,                0.96603,                    0.6,                0.76484,                0.47709,                 1.6433,                 1.1922,                 1.2554,               0.006568,               0.006568,               0.006568
                     54,                0.37379,                0.31326,                0.78531,                0.95443,                    0.6,                0.80929,                0.50538,                 1.6667,                 1.0788,                 1.2312,               0.006502,               0.006502,               0.006502
                     55,                0.37309,                0.30811,                0.78462,                0.55997,                0.76791,                0.72357,                0.48163,                 1.5489,                 1.0791,                 1.2816,               0.006436,               0.006436,               0.006436
                     56,                0.35825,                0.30186,                0.78068,                0.99069,                    0.6,                0.78621,                0.55977,                 1.4629,                 1.1205,                 1.2125,                0.00637,                0.00637,                0.00637
                     57,                0.36726,                0.30912,                0.78186,                      1,                0.59125,                  0.795,                 0.4821,                 1.7323,                 1.1775,                 1.2914,               0.006304,               0.006304,               0.006304
                     58,                0.34528,                0.28752,                0.77926,                0.72898,                0.54956,                0.73591,                0.49141,                 1.5834,                  1.255,                 1.3007,               0.006238,               0.006238,               0.006238
                     59,                0.35514,                 0.2973,                0.77951,                      1,                0.58058,                0.77682,                0.42711,                 1.7364,                 1.3999,                 1.3189,               0.006172,               0.006172,               0.006172
                     60,                0.34343,                0.29575,                 0.7795,                0.69244,                    0.6,                  0.745,                0.45052,                  1.769,                 1.4082,                 1.3572,               0.006106,               0.006106,               0.006106
                     61,                0.34106,                0.29117,                0.78058,                0.50412,                0.81482,                 0.7404,                0.40594,                 1.7662,                 1.2805,                 1.3491,                0.00604,                0.00604,                0.00604
                     62,                0.33227,                0.28816,                0.77801,                      1,                0.58978,                0.81722,                 0.5232,                 1.6459,                 1.1513,                 1.2456,               0.005974,               0.005974,               0.005974
                     63,                0.33095,                0.27924,                0.77855,                      1,                 0.5923,                0.81722,                0.46492,                 1.7861,                  1.245,                 1.3093,               0.005908,               0.005908,               0.005908
