                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7916,                 3.2308,                 2.0358,                0.39587,                0.07692,                0.24878,                0.10214,                 1.5555,                 3.5241,                 2.0761,               0.070484,              0.0032796,              0.0032796
                      2,                 1.2128,                 1.6236,                 1.4997,                0.45379,                0.49002,                0.41819,                0.14384,                 1.9291,                 2.7228,                 2.3484,                0.04044,              0.0065693,              0.0065693
                      3,                 1.0394,                 1.1659,                 1.3268,                0.69491,                0.74359,                0.75822,                0.43306,                 1.5101,                 1.4901,                  1.857,               0.010353,              0.0098149,              0.0098149
                      4,                  0.961,                0.99358,                 1.2532,                0.49745,                0.33333,                0.33957,                0.14268,                 1.6846,                 2.1425,                 2.0959,               0.009802,               0.009802,               0.009802
                      5,                0.88402,                0.83062,                 1.2046,                0.90336,                 0.5641,                0.73747,                0.35584,                 1.7927,                 1.7174,                 2.3153,               0.009736,               0.009736,               0.009736
                      6,                0.80443,                0.72167,                 1.1519,                0.62084,                0.67186,                 0.6734,                 0.3472,                 1.5597,                 1.6204,                 2.1179,                0.00967,                0.00967,                0.00967
                      7,                 0.7343,                0.65324,                 1.1164,                0.95041,                0.66667,                0.78075,                0.31973,                 1.8082,                 2.1482,                 2.4341,               0.009604,               0.009604,               0.009604
                      8,                0.65909,                0.57193,                 1.0582,                0.77638,                 0.8013,                0.73237,                0.40176,                 1.3909,                  1.208,                 1.8966,               0.009538,               0.009538,               0.009538
                      9,                 0.6109,                0.51446,                  1.029,                0.78139,                0.73338,                0.76011,                0.34264,                 1.8699,                 1.4368,                 2.5789,               0.009472,               0.009472,               0.009472
                     10,                0.59215,                0.48902,                 1.0107,                0.80797,                0.71795,                0.82176,                0.45692,                 1.4937,                  1.112,                 2.0606,               0.009406,               0.009406,               0.009406
                     11,                0.54703,                0.46224,                0.98712,                0.82503,                 0.8463,                0.91088,                 0.3844,                 1.8211,                  1.284,                 2.7716,                0.00934,                0.00934,                0.00934
                     12,                0.51458,                0.43826,                0.97353,                0.91422,                 0.8198,                0.90146,                0.43389,                 1.6607,                0.94651,                 2.3669,               0.009274,               0.009274,               0.009274
                     13,                0.48198,                0.39971,                0.95232,                0.86864,                 0.6784,                0.71411,                0.42419,                 1.6162,                 1.1659,                 2.2636,               0.009208,               0.009208,               0.009208
                     14,                0.45109,                0.38423,                 0.9377,                 0.9697,                0.82046,                0.89407,                0.46778,                 1.5902,                0.79564,                  2.434,               0.009142,               0.009142,               0.009142
                     15,                0.44456,                0.37748,                0.93216,                0.89142,                 0.8421,                 0.8959,                0.47317,                 1.6135,                0.81292,                  2.574,               0.009076,               0.009076,               0.009076
                     16,                0.42369,                0.35358,                0.91998,                0.69907,                0.83403,                0.79627,                0.33711,                 1.7611,                 1.0774,                 2.8262,                0.00901,                0.00901,                0.00901
                     17,                0.40242,                0.34259,                0.91509,                 0.9704,                0.84077,                0.90145,                0.46515,                 1.5654,                0.85259,                 2.4793,               0.008944,               0.008944,               0.008944
                     18,                0.39986,                0.33885,                0.90984,                0.86079,                0.74359,                0.83127,                 0.4087,                 1.6791,                 1.1125,                 2.5397,               0.008878,               0.008878,               0.008878
                     19,                0.38389,                0.32235,                0.89679,                0.99362,                0.89744,                0.96436,                0.46988,                 1.6621,                0.78017,                 2.6159,               0.008812,               0.008812,               0.008812
                     20,                0.36285,                0.31814,                0.89272,                0.81585,                0.84615,                0.87142,                0.45163,                 1.5298,                0.94497,                 2.3241,               0.008746,               0.008746,               0.008746
                     21,                0.36225,                0.30522,                0.89235,                0.83483,                0.84615,                0.84427,                0.42014,                 1.5967,                0.94975,                 2.7721,                0.00868,                0.00868,                0.00868
                     22,                0.34483,                0.29137,                0.88704,                 0.9647,                0.89744,                0.93453,                0.50034,                 1.6042,                0.81605,                 2.5088,               0.008614,               0.008614,               0.008614
                     23,                   0.33,                0.28346,                0.88301,                0.87061,                0.86277,                0.91422,                0.48401,                 1.6273,                0.93378,                 2.7727,               0.008548,               0.008548,               0.008548
                     24,                0.32035,                0.28362,                0.87239,                 0.9098,                0.82051,                0.87707,                0.47929,                  1.512,                0.93403,                 2.5001,               0.008482,               0.008482,               0.008482
